|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  400.0036       15001.33       3512.530      0.2268940E-04   967.6475       8.353239       4.844797     -0.1251238E+08
  420.0036       15001.33       3510.920      0.2317450E-04   985.1970       8.343740       4.838868     -0.1249285E+08
  440.0035       15001.33       3509.277      0.2361932E-04   1000.853       8.334055       4.832830     -0.1247298E+08
  460.0035       15001.33       3507.605      0.2402962E-04   1014.876       8.324199       4.826693     -0.1245282E+08
  480.0034       15001.33       3505.906      0.2441024E-04   1027.487       8.314187       4.820465     -0.1243240E+08
  500.0034       15001.33       3504.182      0.2476529E-04   1038.872       8.304029       4.814155     -0.1241173E+08
  520.0034       15001.33       3502.435      0.2509826E-04   1049.190       8.293735       4.807768     -0.1239085E+08
  540.0033       15001.33       3500.667      0.2541212E-04   1058.576       8.283316       4.801311     -0.1236977E+08
  560.0033       15001.33       3498.877      0.2570941E-04   1067.143       8.272778       4.794789     -0.1234851E+08
  580.0032       15001.33       3497.069      0.2599230E-04   1074.991       8.262127       4.788207     -0.1232709E+08
  600.0032       15001.33       3495.242      0.2626269E-04   1082.204       8.251371       4.781567     -0.1230552E+08
  620.0032       15001.33       3493.397      0.2652218E-04   1088.856       8.240513       4.774874     -0.1228381E+08
  640.0031       15001.33       3491.536      0.2677219E-04   1095.010       8.229559       4.768131     -0.1226197E+08
  660.0031       15001.33       3489.658      0.2701396E-04   1100.720       8.218512       4.761339     -0.1224001E+08
  680.0030       15001.33       3487.765      0.2724854E-04   1106.035       8.207374       4.754503     -0.1221794E+08
  700.0030       15001.33       3485.857      0.2747690E-04   1110.997       8.196151       4.747623     -0.1219577E+08
  720.0030       15001.33       3483.934      0.2769986E-04   1115.642       8.184843       4.740701     -0.1217350E+08
  740.0029       15001.33       3481.997      0.2791816E-04   1120.003       8.173453       4.733740     -0.1215115E+08
  760.0029       15001.33       3480.046      0.2813245E-04   1124.108       8.161984       4.726741     -0.1212871E+08
  780.0028       15001.33       3478.081      0.2834332E-04   1127.983       8.150436       4.719704     -0.1210618E+08
  800.0028       15001.33       3476.103      0.2855129E-04   1131.649       8.138811       4.712632     -0.1208359E+08
  820.0028       15001.33       3474.111      0.2875684E-04   1135.127       8.127110       4.705525     -0.1206092E+08
  840.0027       15001.33       3472.107      0.2896038E-04   1138.434       8.115335       4.698384     -0.1203818E+08
