publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p972091,earthquake,2024-12-25T16:09:52.775Z,2024-12-29T13:54:10.185Z,-177.8577880859375,-34.47229766845703,5.0214880386012,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,34,26,90,4.332766532897949,175.0300750732422,1.4561354980524222,0.4
2024p949173,earthquake,2024-12-17T04:39:35.174Z,2024-12-19T21:34:25.255Z,174.24710083007812,-41.773292541503906,5.120054333578334,11.794282913208008,MLv,,LOCSAT,confirmed,manual,iasp91,46,27,55,0.03476123511791229,143.9213104248047,0.452123258364637,0.16588242562670336
2024p945100,earthquake,2024-12-15T16:29:29.951Z,2024-12-17T22:00:25.531Z,165.83436584472656,-47.37092590332031,5.030420085845859,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,27,17,20,1.3381916284561157,203.6757354736328,0.95874448113006,0.1511029088679533
2024p945089,earthquake,2024-12-15T16:23:41.242Z,2024-12-17T22:09:30.364Z,165.84266662597656,-47.17570877075195,5.073680017715598,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,21,22,1.163074016571045,124.72318267822266,1.0689967426720888,0
2024p941705,earthquake,2024-12-14T10:20:26.275Z,2024-12-17T21:41:42.657Z,178.88641357421875,-38.73516082763672,5.26016403599319,37.86094284057617,M,,LOCSAT,confirmed,manual,iasp91,47,32,61,0.5845834612846375,249.51220703125,0.8305421492380483,0
2024p897079,earthquake,2024-11-27T22:03:59.406Z,2024-12-03T23:38:37.993Z,179.67581176757812,-37.6783332824707,5.851424269413576,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,47,35,60,0.8947142362594604,136.1554946899414,0.903671700002345,0
2024p829895,earthquake,2024-11-03T01:28:29.192Z,2024-11-07T22:00:15.069Z,177.4234619140625,-37.06674575805664,5.015521402018251,129.12786865234375,MLv,,LOCSAT,confirmed,manual,iasp91,43,28,51,0.7451785802841187,188.66426849365234,0.5281494211127998,0.22241254665610116
2024p777480,earthquake,2024-10-14T16:01:27.155Z,2024-10-21T02:01:59.059Z,177.275146484375,-36.60898971557617,5.165104651482156,232.42262268066406,MLv,,LOCSAT,confirmed,manual,iasp91,47,31,130,1.0654760599136353,202.54092407226562,0.6586547871308536,0.4994813746746703
2024p759623,earthquake,2024-10-08T01:27:19.285Z,2024-10-14T01:17:48.039Z,-177.95724487304688,-33.80181884765625,5.120342936847406,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,38,30,14,4.52609920501709,173.97371476888657,1.3105586619468106,0.4
2024p759459,earthquake,2024-10-07T23:59:05.055Z,2024-10-13T22:49:30.104Z,-178.1818084716797,-33.5956916809082,6.334680109953868,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,40,33,66,4.326172828674316,170.5506637096405,1.651636500363346,0.15586786639687955
2024p756485,earthquake,2024-10-06T21:35:02.962Z,2024-10-10T20:39:07.453Z,-177.94540405273438,-33.613468170166016,5.046772385213378,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,28,23,18,4.3381805419921875,174.24377664923668,1.5499619814872432,0.4
2024p753169,earthquake,2024-10-05T16:08:55.138Z,2024-10-06T22:40:02.845Z,174.4170379638672,-41.26350784301758,5.703886677411178,29.70797920227051,M,,LOCSAT,confirmed,manual,iasp91,37,27,69,0.11866622418165207,84.32743835449219,0.4941566256947063,0
2024p745618,earthquake,2024-10-02T21:05:38.554Z,2024-10-02T21:31:24.669Z,-179.54864501953125,-34.994754791259766,5.198258976960779,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,41,39,34,3.262272596359253,260.5683135986328,0.7094386326293388,0
2024p741084,earthquake,2024-10-01T04:49:40.828Z,2024-10-07T02:25:49.223Z,174.34945678710938,-41.52854919433594,5.020390555624449,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,72,47,57,0.2088056206703186,111.01167297363281,0.5120626437105691,0.18404824813825313
2024p699389,earthquake,2024-09-15T18:34:47.803Z,2024-09-17T02:57:41.366Z,178.48165893554688,-41.85580062866211,5.088202908792773,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,59,42,11,1.9587769508361816,119.90530395507812,1.71624854806748,0.2731528323222638
2024p694974,earthquake,2024-09-14T03:20:31.398Z,2024-09-14T04:07:15.562Z,-178.38771057128906,-34.50141143798828,5.140637105828374,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,19,16,36,4.062525749206543,167.57588577270508,1.0667625151600486,0.4
2024p692851,earthquake,2024-09-13T08:31:30.883Z,2024-09-22T22:34:27.151Z,179.58502197265625,-35.05500030517578,5.21947641009067,100,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,43,34,35,2.70679235458374,176.71321296691895,0.9044882013800644,0.22809121758443196
2024p678872,earthquake,2024-09-08T04:22:20.443Z,2024-09-14T08:29:59.816Z,-178.48304748535156,-33.13852310180664,5.017916287674497,33,Mw(mB),operator assigned,LOCSAT,confirmed,manual,iasp91,30,30,16,3.894399404525757,165.4242663383484,1.2511106196195987,0.4
2024p674944,earthquake,2024-09-06T17:30:40.983Z,2024-09-12T23:10:50.909Z,-179.17124938964844,-35.51704406738281,5.379686429489894,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,37,27,39,2.8398754596710205,256.50352478027344,0.7127355278271833,0.10827351483359979
2024p674598,earthquake,2024-09-06T14:24:59.505Z,2024-09-12T23:21:31.449Z,164.68214416503906,-49.02359008789062,5.819076566266589,32.86386489868164,MLv,,LOCSAT,confirmed,manual,iasp91,28,20,18,3.122886896133423,131.9156723022461,1.3070642787766544,0.11835109792707219
