X,Y
180,-42.5276222
179.996582,-42.5270538
178.9568787,-42.6159973
178.5308838,-42.5786552
178.2661438,-42.5555267
177.9207764,-42.5047951
177.7089844,-42.5261612
177.4472504,-42.5337982
177.1530151,-42.4513474
176.9015198,-42.416584
176.3431549,-42.3666306
176.0122223,-42.3550301
175.6933289,-42.3844757
175.5284729,-42.4727325
175.2553101,-42.4771881
174.9039154,-42.480751
174.6247406,-42.4664955
174.3563843,-42.5528603
174.0579529,-42.6382103
173.9801483,-42.622467
174.0643768,-42.5309296
174.2887726,-42.414505
174.4242401,-42.3283997
174.5403595,-42.2601509
174.6274567,-42.1846313
174.6766357,-42.0804443
174.8057404,-42.0558701
174.958374,-42.0101624
175.1427765,-41.9412117
175.2556,-41.8895988
175.4079132,-41.8653564
175.5644379,-41.8463783
175.7421265,-41.8252869
175.8446198,-41.8297653
175.9337769,-41.8402252
176.1307373,-41.8224754
176.2624054,-41.7900009
176.6140747,-41.7029915
176.7187958,-41.6625023
176.8848877,-41.5584717
177.1541595,-41.4049911
177.6113892,-41.2393036
177.6601105,-41.1863937
177.7458649,-41.1228752
177.7767334,-41.0748711
177.8590546,-41.0112419
177.865921,-40.9722595
177.9739685,-40.8707848
178.0820312,-40.7574196
178.1401672,-40.6794434
178.2043304,-40.5931473
178.2895508,-40.5222511
178.3516541,-40.4428978
178.4041443,-40.3224945
178.4649048,-40.2378731
178.482254,-40.1613045
178.5422516,-40.0789223
178.5704041,-39.9792061
178.5919647,-39.8472404
178.6389313,-39.7257729
178.661026,-39.6126328
178.7452698,-39.5078659
178.7618408,-39.3396988
178.7516937,-39.2711372
178.7554321,-39.2268982
178.7562561,-39.1566811
178.8529968,-39.0904388
178.9261932,-39.0010452
178.927475,-38.7841873
178.9983521,-38.6081047
179.0529633,-38.5371246
179.1547699,-38.422123
179.2253265,-38.3650322
179.2514496,-38.3123016
179.2910461,-38.2071915
179.3554688,-38.1210518
179.3808136,-38.0870705
179.4095917,-38.048481
179.5256042,-37.877903
179.6354523,-37.7423019
179.805191,-37.7473907
179.9359589,-37.6279869
180,-37.5056458
180,-42.5276222
-180,-37.5056458
-179.9937744,-37.4937477
-179.9239044,-37.3640556
-179.8355103,-37.2370834
-179.7217407,-37.1295891
-179.6422729,-36.9847069
-179.4917297,-36.8138847
-179.3966675,-36.6104774
-179.2275848,-36.3233719
-179.0750885,-36.0768394
-178.9824982,-35.9580078
-178.7522888,-35.9275742
-178.5472565,-35.9817429
-178.2679138,-36.2610474
-178.0339813,-36.4514847
-177.8171387,-36.5518684
-177.7250671,-36.71875
-177.5961151,-36.8212967
-177.4129639,-36.9800301
-177.0609436,-37.1405602
-176.7338409,-37.1281052
-176.6303711,-37.3151817
-176.6723633,-37.3558922
-176.6618652,-37.4515991
-176.6183777,-37.5853767
-176.5838928,-37.7248688
-176.490921,-37.7736855
-176.4474335,-37.8474503
-176.4429321,-37.9674492
-176.477417,-38.1014748
-176.3769531,-38.2269745
-176.1370087,-38.3935738
-176.0395355,-38.525631
-175.7021332,-38.7314873
-175.6016693,-38.8758125
-175.5191803,-39.0444107
-175.4022217,-39.1495781
-175.406723,-39.1810951
-175.5926666,-39.2685738
-175.7846069,-39.443203
-175.9525604,-39.4699402
-176.1685028,-39.7807236
-176.1355133,-39.8593521
-176.006546,-39.9228859
-175.9420624,-40.012886
-175.9045868,-40.1361504
-175.874588,-40.2787209
-175.7996063,-40.3498917
-175.7456207,-40.3361244
-175.6256561,-40.1821747
-175.4187164,-40.1522636
-175.3947144,-39.974823
-175.2387695,-39.954052
-175.2012787,-39.8651314
-175.1697845,-39.8327675
-174.8998566,-39.8547325
-174.7858887,-39.9725151
-174.581955,-39.8893929
-174.3480072,-39.9240417
-173.9041443,-40.1246414
-173.5532379,-40.3223495
-173.3253021,-40.5309219
-173.3432922,-40.946106
-173.0631104,-41.2178154
-172.8334351,-41.3518982
-172.4325562,-41.6566391
-172.258728,-41.7928238
-172.2463531,-41.8160591
-172.0456085,-42.1902847
-172.1528931,-42.2620468
-172.8554535,-42.7503815
-173.287674,-42.7022209
-173.5726929,-42.7246437
-173.8132782,-42.6923866
-174.0996704,-42.7154617
-174.2415466,-42.7022209
-174.4239655,-42.7134323
-174.6595764,-42.6629677
-174.8987122,-42.6444321
-175.2549133,-42.5750961
-175.6881256,-42.5110283
-176.0428925,-42.5113258
-176.4679108,-42.4736252
-176.9701538,-42.4100266
-177.4955902,-42.3505669
-178.0711823,-42.3698387
-178.7494965,-42.3719864
-178.8927002,-42.437088
-179.139389,-42.4736252
-179.3969116,-42.4914398
-179.6147308,-42.5101395
-179.7206268,-42.5742073
-180,-42.5276222
-180,-37.5056458
