X,Y,Z
-5244679.360745672,1160916.8803461026,-3425675.3202683763
-5244351.678076949,1161244.4200888567,-3426065.9470395474
-5244436.1122935545,1160863.03697175,-3426065.9470395474
-5244520.518774973,1160481.647715422,-3426065.9470395474
-5244108.405806336,1161190.5528838802,-3426456.5556919817
-5243865.105808113,1161136.6795392444,-3426847.146214235
-5243949.532190891,1160755.3318069594,-3426847.146214235
-5244033.930841055,1160373.9779360227,-3426847.146214235
-5243706.200537082,1160701.4700157994,-3427237.718622992
-5243790.5952709485,1160320.1338405837,-3427237.718622992
-5243462.841151946,1160647.6020862728,-3427628.272906813
-5243547.23196907,1160266.283608795,-3427628.272906813
-5243219.454042616,1160593.7280199581,-3428018.8090542587
-5243303.84094255,1160212.4272422341,-3428018.8090542587
-5242976.039198694,1160539.8478145539,-3428409.3270820137
-5243060.422180993,1160158.5647386007,-3428409.3270820137
-5242732.59662731,1160485.9614716384,-3428799.8269786336
-5242816.975691526,1160104.6960994725,-3428799.8269786336
-5242489.126335596,1160432.0689927905,-3429190.308732683
-5242573.501481284,1160050.8213264276,-3429190.308732683
-5242329.999539861,1159996.940417164,-3429580.772360845
-5241842.912492014,1159889.1601962945,-3430361.6451937514
-5241514.967915206,1160216.4377069534,-3430752.054403733
-5241599.32738232,1159835.2608839658,-3430752.054403733
-5241271.359006087,1160162.514544955,-3431142.445470197
-5241355.714552442,1159781.3554378513,-3431142.445470197
-5241027.722384369,1160108.5852487353,-3431532.818381705
-5241112.074009518,1159727.4438595306,-3431532.818381705
-5240699.682620274,1160435.7673503337,-3431923.17315493
-5240784.058039646,1160054.6498159906,-3431923.17315493
-5240868.405743143,1159673.526146701,-3431923.17315493
-5240952.725710086,1159292.3964359541,-3431923.17315493
-5240455.994483066,1160381.8080609983,-3432313.5097784405
-5240540.365979051,1160000.7082483007,-3432313.5097784405
-5240624.709760452,1159619.602300942,-3432313.5097784405
-5240709.025806586,1159238.4903124068,-3432313.5097784405
-5240212.27863757,1160327.842636282,-3432703.828240804
-5240296.646209723,1159946.760547245,-3432703.828240804
-5240380.98606858,1159565.672323832,-3432703.828240804
-5240465.298193462,1159184.5780595236,-3432703.828240804
-5239968.53507338,1160273.8710738805,-3433094.1285586935
-5240052.898721254,1159892.8067105196,-3433094.1285586935
-5240137.234657122,1159511.7362130685,-3433094.1285586935
-5240221.542860303,1159130.6596750026,-3433094.1285586935
-5239724.763797633,1160219.8933753744,-3433484.41072067
-5239809.123520783,1159838.8467397052,-3433484.41072067
-5239893.455533215,1159457.793970231,-3433484.41072067
-5239977.759814251,1159076.735160423,-3433484.41072067
-5239480.964817468,1160165.9095423445,-3433874.6747153145
-5239565.320615447,1159784.8806363815,-3433874.6747153145
-5239649.648703997,1159403.8455968988,-3433874.6747153145
-5239733.949062442,1159022.8045173637,-3433874.6747153145
-5239237.138122473,1160111.9195724851,-3434264.9205592866
-5239490.110594466,1158968.8677435217,-3434264.9205592866
-5238908.908087337,1160438.9106814824,-3434655.148241162
-5238993.283719787,1160057.9234673772,-3434655.148241162
-5239246.244417462,1158914.9248404761,-3434655.148241162
-5238665.0299119055,1160384.890707247,-3435045.3577495045
-5238749.4016165575,1160003.921228603,-3435045.3577495045
-5239002.350538575,1158860.975809808,-3435045.3577495045
-5238421.124025957,1160330.8645950228,-3435435.549100987
-5238505.491802365,1159949.9128538554,-3435435.549100987
-5238674.144283764,1159187.9907875045,-3435435.549100987
-5238758.428947387,1158807.020649212,-3435435.549100987
-5238177.190436631,1160276.832346392,-3435825.722284182
-5238261.554284349,1159895.898344716,-3435825.722284182
-5238514.479651039,1158753.0593602683,-3435825.722284182
-5237933.2291510785,1160222.7939629385,-3436215.8772876575
-5238017.58906966,1159841.8777027677,-3436215.8772876575
-5238270.5026566805,1158699.0919445583,-3436215.8772876575
-5237689.240158878,1160168.7494423531,-3436606.0141280796
-5237773.596147876,1159787.8509257026,-3436606.0141280796
-5238026.497953889,1158645.1183997765,-3436606.0141280796
-5237445.223467173,1160114.6987862187,-3436996.1327940207
-5237782.465549811,1158591.1387275034,-3436996.1327940207
-5237032.39969531,1160822.3498191147,-3437386.2332740566
-5237116.803237451,1160441.4989761128,-3437386.2332740566
-5237201.179083113,1160060.6419961187,-3437386.2332740566
-5237538.405451593,1158537.1529293202,-3437386.2332740566
-5236703.90819107,1161149.0782583544,-3437776.315584851
-5236788.335474186,1160768.251394463,-3437776.315584851
-5236872.735082823,1160387.4183004566,-3437776.315584851
-5237294.317648811,1158483.1610029212,-3437776.315584851
-5236459.820210447,1161094.9559442645,-3438166.379714973
-5236544.243558322,1160714.1468310922,-3438166.379714973
-5237050.202148615,1158429.1629498878,-3438166.379714973
-5236215.704542681,1161040.8274910268,-3438556.4256530018
-5236300.123954871,1160660.036130587,-3438556.4256530018
-5236806.058958156,1158375.1587718015,-3438556.4256530018
-5235971.561177346,1160986.692896329,-3438946.453415597
-5236055.976653404,1160605.9192906364,-3438946.453415597
-5236561.888067004,1158321.1484663556,-3438946.453415597
-5235727.390121591,1160932.552161757,-3439336.4629913336
-5235811.8016610695,1160551.7963128246,-3439336.4629913336
-5235896.185531231,1160171.0342349391,-3439336.4629913336
-5235980.541711366,1159790.2660214917,-3439336.4629913336
-5236233.444086944,1158647.9246792975,-3439336.4629913336
-5235483.191382568,1160878.4052888956,-3439726.454368794
-5235567.598985021,1160497.6671987372,-3439726.454368794
-5235651.978919447,1160116.922879916,-3439726.454368794
-5235736.33116514,1159736.172425819,-3439726.454368794
-5235820.655701419,1159355.4159298392,-3439726.454368794
-5235989.221745137,1158593.884363388,-3439726.454368794
-5235323.36861483,1160443.5319460626,-3440116.4275646284
-5235407.744613075,1160062.8053883198,-3440116.4275646284
-5235492.092923878,1159682.0726955873,-3440116.4275646284
-5235576.41352656,1159301.3339612538,-3440116.4275646284
-5235660.706461148,1158920.589004582,-3440116.4275646284
-5235079.110557647,1160389.390556386,-3440506.3825674164
-5235163.482619265,1160008.681761735,-3440506.3825674164
-5235247.826994733,1159627.9668323805,-3440506.3825674164
-5235332.143663373,1159247.2458617068,-3440506.3825674164
-5235416.432665208,1158866.5186689852,-3440506.3825674164
-5234919.192945172,1159954.5520017468,-3440896.3193657403
-5223453.435093068,721910.4723431708,-3575474.86095703
-5223610.807215929,720770.8744124244,-3575474.86095703
-5223457.989461574,719975.6178920334,-3575858.322413101
-5223252.709178207,719560.2647664578,-3576241.764958255
-5222789.686086934,719109.4620241163,-3577008.593298504
-5221697.378084628,723215.7807099618,-3577775.3459707615
-5222221.934653329,719418.264286808,-3577775.3459707615
-5221597.290451138,722040.9250173367,-3578158.6939309216
-5220139.051331846,726869.3535221174,-3579308.62425561
-5219040.31504859,730972.71596948,-3580075.149826566
-5218835.608862317,730557.0796008337,-3580458.384217835
-5218074.255568021,640121.1790215747,-3598831.3296883292
-5217461.518421665,640816.2947617237,-3599595.919010488
-5215673.657750405,650994.6652053735,-3600360.4321960118
-5215720.985619259,650615.3690531827,-3600360.4321960118
-5215176.792982675,652858.57029504,-3600742.6602198686
-5215602.970879196,649445.1054776312,-3600742.6602198686
-5217285.338667828,635788.4788154603,-3600742.6602198686
-5212508.742715737,671783.658231197,-3601124.8692103853
-5215767.032997324,645999.1748081201,-3601124.8692103853
-5215860.934608744,645240.565352856,-3601124.8692103853
-5216048.406798311,643723.3056922023,-3601124.8692103853
-5212200.131079538,672129.2259836365,-3601507.0591563582
-5212248.995917685,671750.1822865375,-3601507.0591563582
-5212297.833190866,671371.1350368891,-3601507.0591563582
-5212346.642887111,670992.0843276656,-3601507.0591563582
-5212444.179606327,670233.9720836633,-3601507.0591563582
-5212492.906605374,669854.9107348368,-3601507.0591563582
-5212736.128148439,667959.5505290237,-3601507.0591563582
-5215882.049547629,642932.6154844951,-3601507.0591563582
-5214302.197198195,653519.3729097396,-3601889.2300466057
-5211193.698386139,669687.950122839,-3603417.723129093
-5212354.586661912,660591.6859480375,-3603417.723129093
-5213024.439295177,655284.6007273032,-3603417.723129093
-5214434.812442578,639674.7145769657,-3604181.8553338572
-5214174.645348489,639642.798881854,-3604563.892850776
-5209812.321134107,672206.4825072982,-3604945.9113049703
-5209861.1915850965,671827.6125473742,-3604945.9113049703
-5209958.849853263,671069.8617888029,-3604945.9113049703
-5210007.637646488,670690.981176017,-3604945.9113049703
-5210056.397898311,670312.0969253555,-3604945.9113049703
-5209503.408056965,672551.7808145271,-3605327.9106852515
-5209032.185962477,672105.8240022933,-3606091.852261834
-5208138.097583895,670835.3394040836,-3607619.5065308395
-5208186.868326986,670456.591200738,-3607619.5065308395
-5208235.611538303,670077.8393607882,-3607619.5065308395
-5212092.316024843,639387.3515584777,-3607619.5065308395
-5208170.076678329,668529.3928290007,-3608001.3724105107
-5211831.900803985,639355.4054247037,-3608001.3724105107
-5207958.417502469,668117.2538515023,-3608383.2192092785
-5207746.698403562,667705.1455728454,-3608765.046915958
-5210490.646433349,643806.8021749998,-3609146.8555468586
-5207274.569658574,667259.7069028752,-3609528.645090798
-5209807.683540197,647184.5647066328,-3609528.645090798
-5209427.703862432,645983.3340319919,-3610292.1669005533
-5209849.383159026,642573.6334569111,-3610292.1669005533
-5210268.830721654,639163.6576236971,-3610292.1669005533
-5209728.852835607,641404.9218504155,-3610673.8991714926
-5209775.483345664,641026.0579509941,-3610673.8991714926
-5209822.086292654,640647.1907524405,-3610673.8991714926
-5209961.729842249,639510.5686545735,-3610673.8991714926
-5206099.091655209,664030.7925753489,-3611818.9813968483
-5205886.80334077,663618.9772263044,-3612200.637266365
-5205674.455114634,663207.1928477612,-3612582.2740419293
-5205510.233094487,662416.8856024372,-3612963.891712363
-5207320.9025829695,648029.2699447675,-3612963.891712363
-5207368.014835619,647650.5811389321,-3612963.891712363
-5207415.09953782,647271.8889988839,-3612963.891712363
-5207790.785783968,644242.2282699728,-3612963.891712363
-5207837.622622674,643863.5053941689,-3612963.891712363
-5207884.431930988,643484.7790224018,-3612963.891712363
-5207931.213697417,643106.0492475693,-3612963.891712363
-5205133.276029343,661214.9758894738,-3613727.069720612
-5204920.628401316,660803.3460437759,-3614108.630063546
-5204707.9209241895,660391.747040725,-3614490.171284119
-5207307.659624224,639569.1828953235,-3614490.171284119
-5204495.153578403,659980.178978285,-3614871.693398634
-5207046.7531425785,639537.1379776453,-3614871.693398634
-5207093.247819485,639158.4692218569,-3614871.693398634
-5204282.326363209,659568.6419567908,-3615253.1963959085
-5206832.311470462,639126.4398977275,-3615253.1963959085
-5204117.360814949,658778.6834219098,-3615634.6802647742
-5206245.339209242,641744.7520850413,-3615634.6802647742
-5206291.994430471,641366.1416038718,-3615634.6802647742
-5206617.810084409,638715.7729213183,-3615634.6802647742
-5203904.383974736,658367.2238137707,-3616016.1450215173
-5205844.240270916,642848.3374652647,-3616016.1450215173
-5205890.975748186,642469.7561499082,-3616016.1450215173
-5205937.683705334,642091.1713459956,-3616016.1450215173
-5205984.364130891,641712.5831463829,-3616016.1450215173
-5206031.017013419,641333.9916439388,-3616016.1450215173
-5206356.816335095,638683.7558172401,-3616016.1450215173
-5203691.347303881,657955.7950953818,-3616397.590654976
-5205676.6834354745,642058.98003308,-3616397.590654976
-5205723.361520704,641680.4108140293,-3616397.590654976
-5205770.012064285,641301.8382923126,-3616397.590654976
-5206095.795051974,638651.7353354843,-3616397.590654976
-5205462.331386332,641648.2350889232,-3616779.0171539704
-5205508.979590719,641269.6815499356,-3616779.0171539704
-5205201.273716624,641616.0559696902,-3617160.4245347944
-5205247.91958157,641237.5214154341,-3617160.4245347944
-5204575.50556296,638081.0557706362,-3618685.86273535
-5204099.429562281,637638.5511045504,-3619448.4670146685
-5201866.427510827,653497.7586080527,-3619829.740447747
-5201652.732880494,653086.6712510807,-3620210.994728218
-5203361.875600272,637164.1048721182,-3620592.2298723636
-5201177.716471282,652642.8318720838,-3620973.4458690207
-5203100.517030838,637132.1008902838,-3620973.4458690207
-5200963.872368118,652231.8223346256,-3621354.64270702
-5201885.900278241,636215.4535705368,-3622879.238551081
-5201670.622791672,635805.1929007416,-3623260.339620457
-5201455.28564366,635394.9635468968,-3623641.4215190867
-5199370.790240425,650111.8512603206,-3624022.4842632455
-5201239.888815125,634984.7656069217,-3624022.4842632455
-5200762.784718166,634542.6754028174,-3624784.5522435103
-5198727.823686132,648879.5697647483,-3625165.5574847287
-5200547.238762751,634132.5557196758,-3625165.5574847287
-5200331.633149065,633722.4674815256,-3625546.5435542697
-5200115.967910077,633312.4105162808,-3625927.5104409764
-5199900.243026721,632902.3849218492,-3626308.45816112
-5197822.616518987,647614.9624395575,-3626689.386703542
-5197131.465204047,646761.2371522166,-3627832.0572351976
-5196916.665229366,646350.7262742688,-3628212.9090374503
-5196795.698775347,645184.4102024728,-3628593.7416610513
-5198696.280784949,629686.7777959122,-3628593.7416610513
-5198742.059156629,629308.7162388249,-3628593.7416610513
-5198525.827522942,628898.9577436605,-3628974.555094848
-5195935.424315823,643542.9295881329,-3630116.880228111
-5197876.7751003755,627669.870835818,-3630116.880228111
-5195458.175189179,643100.203053736,-3630878.334327957
-5195242.867868217,642689.9580404814,-3631259.032580621
-5196964.997722923,626409.4646679694,-3631639.7116202447
-5194765.3824177645,642247.3377999401,-3632020.3714630934
-5196839.312282664,625244.0992049008,-3632020.3714630934
-5194596.587925999,641459.411043997,-3632401.012098011
-5198816.041100595,606313.1683416389,-3632401.012098011
-5194165.436363135,640639.2031234435,-3633162.2357268753
-5193949.771117901,640229.1461574648,-3633542.8187259324
-5197852.222840726,607733.3740999668,-3633542.8187259324
-5195446.9978085635,623543.4697615103,-3634303.9270649557
-5195012.747681275,622724.8981213542,-3635064.958523961
-5192731.197689887,639312.2256701823,-3635445.445422993
-5192422.2846066775,639657.5239765147,-3635825.913095978
-5196849.069505699,602636.4396861038,-3635825.913095978
-5191990.357834103,638837.7239367387,-3636586.790746651
-5196061.01171786,602545.0550156664,-3636967.200729441
-5193482.689041223,622158.386155582,-3637347.5914690113
-5191527.273654392,636098.1325583888,-3637727.9629816096
-5191310.922846939,635688.4368890899,-3638108.3152560974
-5192549.086307795,625494.1028886868,-3638108.3152560974
-5192730.815481744,623983.6251142649,-3638108.3152560974
-5195316.504536369,602075.8292411675,-3638108.3152560974
-5195883.377250864,597163.9778759187,-3638108.3152560974
-5195053.679005329,602045.370865935,-3638488.6482813302
-5195315.876313749,599778.5438394774,-3638488.6482813302
-5195663.934100284,596755.9301904413,-3638488.6482813302
-5191996.776421518,621214.4106868064,-3639629.5319144246
-5194875.200015439,596665.3389304128,-3639629.5319144246
-5193300.056970187,605669.8653687716,-3640390.0247717444
-5193344.088786275,605292.1963903297,-3640390.0247717444
-5193388.093147946,604914.5241201642,-3640390.0247717444
-5192948.947265266,606394.4869286319,-3640770.2423139974
-5193213.042433852,604128.5778506106,-3640770.2423139974
-5192597.709182904,607119.0158655233,-3641150.440611173
-5189269.108831436,632757.3486445865,-3641530.6196521353
-5191980.626743938,610108.9391670637,-3641530.6196521353
-5192024.981382019,609731.3661285444,-3641530.6196521353
-5192202.125383856,608221.0414769559,-3641530.6196521353
-5192246.342740187,607843.4522449744,-3641530.6196521353
-5188960.195754569,633102.6469516744,-3641910.779425753
-5191584.381177214,611210.6738427514,-3641910.779425753
-5193426.999154999,595351.0553869981,-3641910.779425753
