# Latitude   Longitude    X             Y            Z         Velocity     Azimuth      Mag_percent
-3.73243e+01 1.75590e+02 -1.80000e+02 -1.00000e+02 0.00000e+00 4.35000e+00 -1.06000e+01 5.66000e-01
-3.75362e+01 1.75883e+02 -1.45000e+02 -1.00000e+02 0.00000e+00 4.27000e+00 4.50000e+01 0.00000e+00
-3.76872e+01 1.76093e+02 -1.20000e+02 -1.00000e+02 0.00000e+00 4.21000e+00 1.20100e+02 2.90000e-02
-3.78378e+01 1.76304e+02 -9.50000e+01 -1.00000e+02 0.00000e+00 4.18000e+00 -3.84100e+01 6.82000e-01
-3.79880e+01 1.76516e+02 -7.00000e+01 -1.00000e+02 0.00000e+00 3.99000e+00 -2.11600e+01 1.17800e+00
-3.81078e+01 1.76686e+02 -5.00000e+01 -1.00000e+02 0.00000e+00 4.41000e+00 -3.95900e+01 4.98000e-01
-3.82275e+01 1.76857e+02 -3.00000e+01 -1.00000e+02 0.00000e+00 4.52000e+00 -1.28100e+01 1.03500e+00
-3.83468e+01 1.77028e+02 -1.00000e+01 -1.00000e+02 0.00000e+00 4.45000e+00 3.64100e+00 7.88000e-01
-3.84659e+01 1.77200e+02 1.00000e+01 -1.00000e+02 0.00000e+00 4.41000e+00 1.82100e+01 9.63000e-01
-3.85848e+01 1.77372e+02 3.00000e+01 -1.00000e+02 0.00000e+00 4.43000e+00 8.57000e-01 1.38200e+00
-3.87033e+01 1.77545e+02 5.00000e+01 -1.00000e+02 0.00000e+00 3.96000e+00 1.01500e+01 8.89000e-01
-3.88216e+01 1.77719e+02 7.00000e+01 -1.00000e+02 0.00000e+00 4.10000e+00 3.94200e+01 2.25000e-01
-3.89397e+01 1.77893e+02 9.00000e+01 -1.00000e+02 0.00000e+00 4.12000e+00 2.57700e+01 8.22000e-01
-3.91162e+01 1.78155e+02 1.20000e+02 -1.00000e+02 0.00000e+00 3.52000e+00 1.79500e+01 3.87000e-01
-3.75904e+01 1.75285e+02 -1.80000e+02 -6.00000e+01 0.00000e+00 4.38000e+00 -2.65200e+01 5.00000e-02
-3.78031e+01 1.75578e+02 -1.45000e+02 -6.00000e+01 0.00000e+00 4.38000e+00 -9.58100e+00 1.64000e-01
-3.79546e+01 1.75788e+02 -1.20000e+02 -6.00000e+01 0.00000e+00 4.18000e+00 2.92700e+01 9.80000e-02
-3.81057e+01 1.76000e+02 -9.50000e+01 -6.00000e+01 0.00000e+00 3.99000e+00 -4.05800e+01 1.11600e+00
