X,Y,Z
-5136838.676982105,1137046.198926335,-3355236.854257521
-5136517.732098596,1137367.0038227069,-3355619.448991803
-5136600.430185494,1136993.462675203,-3355619.448991803
-5136683.101107492,1136619.9155147125,-3355619.448991803
-5136279.461973244,1137314.2442309547,-3356002.0259799035
-5136041.164690413,1137261.4786257863,-3356384.585210615
-5136123.855104561,1136887.9721355245,-3356384.585210615
-5136206.51835633,1136514.4596328333,-3356384.585210615
-5135885.526817044,1136835.2178462702,-3356767.1267002774
-5135968.186233043,1136461.7226754422,-3356767.1267002774
-5135647.171368411,1136782.4575448663,-3357149.6504376885
-5135729.826948202,1136408.9797078762,-3357149.6504376885
-5135408.788765646,1136729.6912328582,-3357532.1564116427
-5135491.440508792,1136356.2307316812,-3357532.1564116427
-5135170.378998564,1136676.9189079918,-3357914.6446384815
-5135253.026904629,1136303.4757446032,-3357914.6446384815
-5134931.942074151,1136624.1405718136,-3358297.115106996
-5135014.586142697,1136250.7147481884,-3358297.115106996
-5134693.477999391,1136571.3562258694,-3358679.5678059864
-5134776.118229982,1136197.947743982,-3358679.5678059864
-5134537.623156292,1136145.174729729,-3359062.002751793
-5134060.551553941,1136039.6106772686,-3359826.8193390374
-5133739.350147683,1136360.158733541,-3360209.200985606
-5133821.975022081,1135986.819638353,-3360209.200985606
-5133500.750305759,1136307.3443353507,-3360591.564861722
-5133583.371340015,1135934.022591774,-3360591.564861722
-5133262.123321059,1136254.5239290704,-3360973.910956182
-5133344.7405147385,1135881.219539079,-3360973.910956182
-5132940.828684745,1136574.9785380762,-3361356.2392853186
-5133023.469183392,1136201.697512444,-3361356.2392853186
-5133106.082536057,1135828.4104780122,-3361356.2392853186
-5133188.668722482,1135455.1175263468,-3361356.2392853186
-5132702.151243812,1136522.1287553962,-3361738.5498379325
-5132784.787899746,1136148.8650870186,-3361738.5498379325
-5132867.397410958,1135775.5954101204,-3361738.5498379325
-5132949.979757196,1135402.3198162639,-3361738.5498379325
-5132463.44666433,1136469.272963491,-3362120.8426028276
-5132546.079477112,1136096.0266543415,-3362120.8426028276
-5132628.685146436,1135722.7743369509,-3362120.8426028276
-5132711.263652049,1135349.5161028767,-3362120.8426028276
-5132224.714936099,1136416.4111601028,-3362503.117596335
-5132307.343905293,1136043.1822121555,-3362503.117596335
-5132389.945732293,1135669.9472562466,-3362503.117596335
-5132472.5203968445,1135296.7063839298,-3362503.117596335
-5131985.956066117,1136363.5433467801,-3362885.374807249
-5132068.581191286,1135990.331762009,-3362885.374807249
-5132151.179175523,1135617.114169556,-3362885.374807249
-5132233.749998576,1135243.89066097,-3362885.374807249
-5131747.170061371,1136310.6695250713,-3363267.614224386
-5131829.791342079,1135937.4753054497,-3363267.614224386
-5131912.385483117,1135564.2750784254,-3363267.614224386
-5131994.952464235,1135191.0689355438,-3363267.614224386
-5131508.356911668,1136257.789692718,-3363649.8358640634
-5131756.127783624,1135138.2412053957,-3363649.8358640634
-5131186.875916651,1136578.0572362973,-3364032.0397150917
-5131269.516623995,1136204.9038512688,-3364032.0397150917
-5131517.275963736,1135085.4074720722,-3364032.0397150917
-5130948.012345047,1136525.1480165157,-3364414.2257662704
-5131030.649205357,1136152.0120022732,-3364414.2257662704
-5131278.39701157,1135032.5677371216,-3364414.2257662704
-5130709.121632705,1136472.2327849541,-3364796.3940339284
-5130791.754645543,1136099.1141434717,-3364796.3940339284
-5130956.939307909,1135352.8586586136,-3364796.3940339284
-5131039.49091692,1134979.7219982864,-3364796.3940339284
-5130470.203786624,1136419.3115431624,-3365178.5445068744
-5130552.832951552,1136046.2102764132,-3365178.5445068744
-5130800.5576867815,1134926.870257114,-3365178.5445068744
-5130231.258813801,1136366.3842926912,-3365560.67717391
-5130313.884130385,1135993.3004026478,-3365560.67717391
-5130561.597328156,1134874.0125151535,-3365560.67717391
-5129992.286704034,1136313.4510312798,-3365942.7920513605
-5130074.9081718335,1135940.3845199158,-3365942.7920513605
-5130322.609830838,1134821.1487701468,-3365942.7920513605
-5129753.287464317,1136260.511760478,-3366324.8891280317
-5130083.595201824,1134768.2790236417,-3366324.8891280317
-5129348.952142322,1136953.6121285944,-3366706.968392735
-5129431.62018548,1136580.5923106174,-3366706.968392735
-5129514.261101652,1136207.5664818366,-3366706.968392735
-5129844.553448115,1134715.4032771871,-3366706.968392735
-5129027.215054508,1137273.622403411,-3367089.029861791
-5129109.906350481,1136900.6260714878,-3367089.029861791
-5129192.570541017,1136527.6236375528,-3367089.029861791
-5129605.484559501,1134662.5215285243,-3367089.029861791
-5128788.14599171,1137220.612948079,-3367471.073524004
-5128870.833433359,1136847.634001886,-3367471.073524004
-5129366.388542986,1134609.6337792026,-3367471.073524004
-5128549.049811071,1137167.5974798317,-3367853.099368189
-5128631.733397959,1136794.6359213411,-3367853.099368189
-5129127.265405571,1134556.740030771,-3367853.099368189
-5128309.926502376,1137114.5759964047,-3368235.1074106614
-5128392.606234066,1136741.6318275891,-3368235.1074106614
-5128888.115137044,1134503.8402809699,-3368235.1074106614
-5128070.776072631,1137061.5484993507,-3368617.0976402326
-5128153.451948686,1136688.6217221827,-3368617.0976402326
-5128236.100724357,1136315.6888441409,-3368617.0976402326
-5128318.722379364,1135942.7499566958,-3368617.0976402326
-5128566.424596222,1134823.8973471697,-3368617.0976402326
-5127831.598528837,1137008.5149902226,-3368999.070045719
-5127914.270548819,1136635.6056066738,-3368999.070045719
-5127996.915469682,1136262.6901225357,-3368999.070045719
-5128079.533271146,1135889.7686292748,-3368999.070045719
-5128162.123932954,1135516.841218364,-3368999.070045719
-5128327.223934963,1134770.9682039774,-3368999.070045719
-5127675.062024256,1136582.5834787993,-3369381.024643428
-5127757.703089874,1136209.6853905376,-3369381.024643428
-5127840.317037357,1135836.7812934334,-3369381.024643428
-5127922.903846451,1135463.8712789554,-3369381.024643428
-5128005.4635563595,1135090.955170082,-3369381.024643428
-5127435.826381999,1136529.5553401113,-3369762.9614221756
-5127518.463591934,1136156.674649698,-3369762.9614221756
-5127601.073684999,1135783.7879507225,-3369762.9614221756
